Algoritmo,Allocated Pieces,Max Length on Strip,Total Allocation Time (s)
MKBL order by area,6,8.0,0.006615
MKBL order by area,6,8.0,0.006392
MKBL order by area,6,8.0,0.00737
MKBL order by area,6,8.0,0.006637
MKBL order by area,6,8.0,0.006523
MKBL order by area,6,8.0,0.010168
MKBL order by area,6,8.0,0.008026
MKBL order by area,6,8.0,0.007442
MKBL order by area,6,8.0,0.006936
MKBL order by area,6,8.0,0.006531
MKBL order by area,6,8.0,0.00643
MKBL order by area,6,8.0,0.007038
MKBL order by area,6,8.0,0.006757
MKBL order by area,6,8.0,0.006472
MKBL order by area,6,8.0,0.006603
MKBL order by area,6,8.0,0.00722
MKBL order by area,6,8.0,0.006589
MKBL order by area,6,8.0,0.008948
MKBL order by area,6,8.0,0.006791
MKBL order by area,6,8.0,0.006631
MKBL order by area,6,8.0,0.006539
MKBL order by area,6,8.0,0.006839
MKBL order by area,6,8.0,0.006583
MKBL order by area,6,8.0,0.008294
MKBL order by area,6,8.0,0.007105
MKBL order by area,6,8.0,0.007561
MKBL order by area,6,8.0,0.007935
MKBL order by area,6,8.0,0.007887
MKBL order by area,6,8.0,0.008245
MKBL order by area,6,8.0,0.006895
MKBL order by area,6,8.0,0.008554
MKBL order by area,6,8.0,0.006993
MKBL order by area,6,8.0,0.007212
MKBL order by area,6,8.0,0.0068
MKBL order by area,6,8.0,0.007203
MKBL order by area,6,8.0,0.00661
MKBL order by area,6,8.0,0.006568
MKBL order by area,6,8.0,0.006767
MKBL order by area,6,8.0,0.006549
MKBL order by area,6,8.0,0.006876
MKBL order by area,6,8.0,0.006544
MKBL order by area,6,8.0,0.007116
MKBL order by area,6,8.0,0.006931
MKBL order by area,6,8.0,0.006803
MKBL order by area,6,8.0,0.006879
MKBL order by area,6,8.0,0.007362
MKBL order by area,6,8.0,0.006972
MKBL order by area,6,8.0,0.007152
MKBL order by area,6,8.0,0.00879
MKBL order by area,6,8.0,0.00721
MKBL order by area,6,8.0,0.007343
MKBL order by area,6,8.0,0.006934
MKBL order by area,6,8.0,0.008802
MKBL order by area,6,8.0,0.006613
MKBL order by area,6,8.0,0.007115
MKBL order by area,6,8.0,0.006576
MKBL order by area,6,8.0,0.008238
MKBL order by area,6,8.0,0.007206
MKBL order by area,6,8.0,0.007602
MKBL order by area,6,8.0,0.007059
MKBL order by area,6,8.0,0.006882
MKBL order by area,6,8.0,0.007599
MKBL order by area,6,8.0,0.008746
MKBL order by area,6,8.0,0.007357
MKBL order by area,6,8.0,0.006661
MKBL order by area,6,8.0,0.007145
MKBL order by area,6,8.0,0.007791
MKBL order by area,6,8.0,0.007373
MKBL order by area,6,8.0,0.008488
MKBL order by area,6,8.0,0.008675
MKBL order by area,6,8.0,0.00695
MKBL order by area,6,8.0,0.008174
MKBL order by area,6,8.0,0.006627
MKBL order by area,6,8.0,0.007746
MKBL order by area,6,8.0,0.007105
MKBL order by area,6,8.0,0.007459
MKBL order by area,6,8.0,0.007413
MKBL order by area,6,8.0,0.008517
MKBL order by area,6,8.0,0.007933
MKBL order by area,6,8.0,0.007345
MKBL order by area,6,8.0,0.00761
MKBL order by area,6,8.0,0.007345
MKBL order by area,6,8.0,0.008452
MKBL order by area,6,8.0,0.006881
MKBL order by area,6,8.0,0.009403
MKBL order by area,6,8.0,0.008081
MKBL order by area,6,8.0,0.007814
MKBL order by area,6,8.0,0.006834
MKBL order by area,6,8.0,0.007932
MKBL order by area,6,8.0,0.006707
MKBL order by area,6,8.0,0.006716
MKBL order by area,6,8.0,0.00896
MKBL order by area,6,8.0,0.006784
MKBL order by area,6,8.0,0.00684
MKBL order by area,6,8.0,0.006897
MKBL order by area,6,8.0,0.006753
MKBL order by area,6,8.0,0.00882
MKBL order by area,6,8.0,0.006983
MKBL order by area,6,8.0,0.006914
MKBL order by area,6,8.0,0.006951
MKBL order by area,6,8.0,0.0072
MKBL order by area,6,8.0,0.008723
MKBL order by area,6,8.0,0.008313
MKBL order by area,6,8.0,0.008059
MKBL order by area,6,8.0,0.006807
MKBL order by area,6,8.0,0.009673
MKBL order by area,6,8.0,0.006846
MKBL order by area,6,8.0,0.007747
MKBL order by area,6,8.0,0.007515
MKBL order by area,6,8.0,0.007264
MKBL order by area,6,8.0,0.006705
MKBL order by area,6,8.0,0.010409
MKBL order by area,6,8.0,0.007297
MKBL order by area,6,8.0,0.006982
MKBL order by area,6,8.0,0.008523
MKBL order by area,6,8.0,0.008755
MKBL order by area,6,8.0,0.006955
MKBL order by area,6,8.0,0.007288
MKBL order by area,6,8.0,0.006716
MKBL order by area,6,8.0,0.006643
MKBL order by area,6,8.0,0.007679
MKBL order by area,6,8.0,0.013501
MKBL order by area,6,8.0,0.006861
MKBL order by area,6,8.0,0.006827
MKBL order by area,6,8.0,0.007969
MKBL order by area,6,8.0,0.006843
MKBL order by area,6,8.0,0.006653
MKBL order by area,6,8.0,0.006689
MKBL order by area,6,8.0,0.007421
MKBL order by area,6,8.0,0.016129
MKBL order by area,6,8.0,0.007692
MKBL order by area,6,8.0,0.009981
MKBL order by area,6,8.0,0.007949
MKBL order by area,6,8.0000,0.013314
