Algoritmo,Allocated Pieces,Max Length on Strip,Total Allocation Time (s)
MKBL user choice,6,7.3333,0.006694
MKBL user choice,6,7.3333,0.007768
MKBL user choice,6,7.3333,0.007036
MKBL user choice,6,7.3333,0.011283
MKBL user choice,6,7.3333,0.011413
MKBL user choice,6,7.3333,0.006639
MKBL user choice,6,7.3333,0.007316
MKBL user choice,6,7.3333,0.007222
MKBL user choice,6,7.3333,0.006249
MKBL user choice,6,7.3333,0.00659
MKBL user choice,6,7.3333,0.009476
MKBL user choice,6,7.3333,0.012626
MKBL user choice,6,7.3333,0.006474
MKBL user choice,6,7.3333,0.006911
MKBL user choice,6,7.3333,0.007134
MKBL user choice,6,7.3333,0.00722
MKBL user choice,6,7.3333,0.006623
MKBL user choice,6,7.3333,0.007711
MKBL user choice,6,7.3333,0.007006
MKBL user choice,6,7.3333,0.008289
MKBL user choice,6,7.3333,0.007529
MKBL user choice,6,7.3333,0.006772
MKBL user choice,6,7.3333,0.006582
MKBL user choice,6,7.3333,0.009091
MKBL user choice,6,7.3333,0.009549
MKBL user choice,6,7.3333,0.011442
MKBL user choice,6,7.3333,0.010846
MKBL user choice,6,7.3333,0.006431
MKBL user choice,6,7.3333,0.006636
MKBL user choice,6,7.3333,0.007472
MKBL user choice,6,7.3333,0.006781
MKBL user choice,6,7.3333,0.006379
MKBL user choice,6,7.3333,0.007926
MKBL user choice,6,7.3333,0.006928
MKBL user choice,6,7.3333,0.006814
MKBL user choice,6,7.3333,0.006526
MKBL user choice,6,7.3333,0.006905
MKBL user choice,6,7.3333,0.00663
MKBL user choice,6,7.3333,0.006753
MKBL user choice,6,7.3333,0.006632
MKBL user choice,6,7.3333,0.007121
MKBL user choice,6,7.3333,0.012823
MKBL user choice,6,7.3333,0.007375
MKBL user choice,6,7.3333,0.011364
MKBL user choice,6,7.3333,0.014386
MKBL user choice,6,7.3333,0.013224
MKBL user choice,6,7.3333,0.009146
MKBL user choice,6,7.3333,0.007344
MKBL user choice,6,7.3333,0.016083
MKBL user choice,6,7.3333,0.007886
MKBL user choice,6,7.3333,0.006834
MKBL user choice,6,7.3333,0.008663
MKBL user choice,6,7.3333,0.0076
MKBL user choice,6,7.3333,0.008832
MKBL user choice,6,7.3333,0.008657
MKBL user choice,6,7.3333,0.006925
MKBL user choice,6,7.3333,0.007794
MKBL user choice,6,7.3333,0.006702
MKBL user choice,6,7.3333,0.011154
MKBL user choice,6,7.3333,0.006919
MKBL user choice,6,7.3333,0.006858
MKBL user choice,6,7.3333,0.007036
MKBL user choice,6,7.3333,0.008126
MKBL user choice,6,7.3333,0.007222
MKBL user choice,6,7.3333,0.006645
MKBL user choice,6,7.3333,0.007976
MKBL user choice,6,7.3333,0.010537
MKBL user choice,6,7.3333,0.007526
MKBL user choice,6,7.3333,0.006463
MKBL user choice,6,7.3333,0.00637
MKBL user choice,6,7.3333,0.012547
MKBL user choice,6,7.3333,0.006877
MKBL user choice,6,7.3333,0.006539
MKBL user choice,6,7.3333,0.006692
MKBL user choice,6,7.3333,0.006434
MKBL user choice,6,7.3333,0.007476
MKBL user choice,6,7.3333,0.007442
MKBL user choice,6,7.3333,0.006187
MKBL user choice,6,7.3333,0.007205
MKBL user choice,6,7.3333,0.00791
MKBL user choice,6,7.3333,0.010171
MKBL user choice,6,7.3333,0.00884
MKBL user choice,6,7.3333,0.006976
MKBL user choice,6,7.3333,0.007146
MKBL user choice,6,7.3333,0.007471
MKBL user choice,6,7.3333,0.01046
MKBL user choice,6,7.3333,0.006295
MKBL user choice,6,7.3333,0.007024
MKBL user choice,6,7.3333,0.006467
MKBL user choice,6,7.3333,0.007725
MKBL user choice,6,7.3333,0.009289
MKBL user choice,6,7.3333,0.010154
MKBL user choice,6,7.3333,0.010639
MKBL user choice,6,7.3333,0.007984
MKBL user choice,6,7.3333,0.007504
MKBL user choice,6,7.3333,0.00736
MKBL user choice,6,7.3333,0.007392
MKBL user choice,6,7.3333,0.007102
MKBL user choice,6,7.3333,0.013703
MKBL user choice,6,7.3333,0.006723
MKBL user choice,6,7.3333,0.00751
MKBL user choice,6,7.3333,0.010565
MKBL user choice,6,7.3333,0.006879
MKBL user choice,6,7.3333,0.007258
MKBL user choice,6,7.3333,0.007041
MKBL user choice,6,7.3333,0.007409
MKBL user choice,6,7.3333,0.007216
MKBL user choice,6,7.3333,0.007454
MKBL user choice,6,7.3333,0.010351
MKBL user choice,6,7.3333,0.007357
MKBL user choice,6,7.3333,0.009348
MKBL user choice,6,7.3333,0.007389
MKBL user choice,6,7.3333,0.006543
MKBL user choice,6,7.3333,0.006766
MKBL user choice,6,7.3333,0.007816
MKBL user choice,6,7.3333,0.007577
MKBL user choice,6,7.3333,0.006975
MKBL user choice,6,7.3333,0.007753
MKBL user choice,6,7.3333,0.007443
MKBL user choice,6,7.3333,0.011146
MKBL user choice,6,7.3333,0.007674
MKBL user choice,6,7.3333,0.00762
MKBL user choice,6,7.3333,0.007368
MKBL user choice,6,7.3333,0.008676
