Algoritmo,Allocated Pieces,Max Length on Strip,Total Allocation Time (s)
MKBL order by length,6,9.0,0.008008
MKBL order by length,6,9.0,0.008248
MKBL order by length,6,9.0,0.007456
MKBL order by length,6,9.0,0.007053
MKBL order by length,6,9.0,0.006813
MKBL order by length,6,9.0,0.007978
MKBL order by length,6,9.0,0.007268
MKBL order by length,6,9.0,0.007519
MKBL order by length,6,9.0,0.007157
MKBL order by length,6,9.0,0.00706
MKBL order by length,6,9.0,0.006808
MKBL order by length,6,9.0,0.008457
MKBL order by length,6,9.0,0.011877
MKBL order by length,6,9.0,0.007466
MKBL order by length,6,9.0,0.007602
MKBL order by length,6,9.0,0.007385
MKBL order by length,6,9.0,0.007015
MKBL order by length,6,9.0,0.006973
MKBL order by length,6,9.0,0.012034
MKBL order by length,6,9.0,0.008633
MKBL order by length,6,9.0,0.006927
MKBL order by length,6,9.0,0.006852
MKBL order by length,6,9.0,0.008865
MKBL order by length,6,9.0,0.006782
MKBL order by length,6,9.0,0.007896
MKBL order by length,6,9.0,0.007172
MKBL order by length,6,9.0,0.006921
MKBL order by length,6,9.0,0.007004
MKBL order by length,6,9.0,0.006696
MKBL order by length,6,9.0,0.0074
MKBL order by length,6,9.0,0.012711
MKBL order by length,6,9.0,0.007717
MKBL order by length,6,9.0,0.008384
MKBL order by length,6,9.0,0.009274
MKBL order by length,6,9.0,0.009335
MKBL order by length,6,9.0,0.007549
MKBL order by length,6,9.0,0.007712
MKBL order by length,6,9.0,0.008502
MKBL order by length,6,9.0,0.014964
MKBL order by length,6,9.0,0.008904
MKBL order by length,6,9.0,0.006937
MKBL order by length,6,9.0,0.006784
MKBL order by length,6,9.0,0.007095
MKBL order by length,6,9.0,0.006968
MKBL order by length,6,9.0,0.007115
MKBL order by length,6,9.0,0.006986
MKBL order by length,6,9.0,0.008722
MKBL order by length,6,9.0,0.007297
MKBL order by length,6,9.0,0.007016
MKBL order by length,6,9.0,0.006831
MKBL order by length,6,9.0,0.006906
MKBL order by length,6,9.0,0.006962
MKBL order by length,6,9.0,0.013863
MKBL order by length,6,9.0,0.008705
MKBL order by length,6,9.0,0.006671
MKBL order by length,6,9.0,0.007285
MKBL order by length,6,9.0,0.007233
MKBL order by length,6,9.0,0.008464
MKBL order by length,6,9.0,0.007092
MKBL order by length,6,9.0,0.007433
MKBL order by length,6,9.0,0.007165
MKBL order by length,6,9.0,0.00771
MKBL order by length,6,9.0,0.007318
MKBL order by length,6,9.0,0.007446
MKBL order by length,6,9.0,0.009958
MKBL order by length,6,9.0,0.006943
MKBL order by length,6,9.0,0.006885
MKBL order by length,6,9.0,0.006579
MKBL order by length,6,9.0,0.007262
MKBL order by length,6,9.0,0.007343
MKBL order by length,6,9.0,0.006957
MKBL order by length,6,9.0,0.006813
MKBL order by length,6,9.0,0.009273
MKBL order by length,6,9.0,0.008642
MKBL order by length,6,9.0,0.006911
MKBL order by length,6,9.0,0.007286
MKBL order by length,6,9.0,0.010568
MKBL order by length,6,9.0,0.007355
MKBL order by length,6,9.0,0.010119
MKBL order by length,6,9.0,0.010354
MKBL order by length,6,9.0,0.007589
MKBL order by length,6,9.0,0.006868
MKBL order by length,6,9.0,0.007741
MKBL order by length,6,9.0,0.007313
MKBL order by length,6,9.0,0.008215
MKBL order by length,6,9.0,0.011269
MKBL order by length,6,9.0,0.00688
MKBL order by length,6,9.0,0.007567
MKBL order by length,6,9.0,0.006913
MKBL order by length,6,9.0,0.007358
MKBL order by length,6,9.0,0.009182
MKBL order by length,6,9.0,0.007029
MKBL order by length,6,9.0,0.019081
MKBL order by length,6,9.0,0.008909
MKBL order by length,6,9.0,0.008882
MKBL order by length,6,9.0,0.00667
MKBL order by length,6,9.0,0.006656
MKBL order by length,6,9.0,0.009761
MKBL order by length,6,9.0,0.006932
MKBL order by length,6,9.0,0.007055
MKBL order by length,6,9.0,0.007134
MKBL order by length,6,9.0,0.006914
MKBL order by length,6,9.0,0.007308
MKBL order by length,6,9.0,0.012334
MKBL order by length,6,9.0,0.006885
MKBL order by length,6,9.0,0.007235
MKBL order by length,6,9.0,0.00679
MKBL order by length,6,9.0,0.007079
MKBL order by length,6,9.0,0.007079
MKBL order by length,6,9.0,0.007645
MKBL order by length,6,9.0,0.006998
MKBL order by length,6,9.0,0.011753
MKBL order by length,6,9.0,0.006816
MKBL order by length,6,9.0,0.008176
MKBL order by length,6,9.0,0.007165
MKBL order by length,6,9.0,0.017898
MKBL order by length,6,9.0,0.008988
MKBL order by length,6,9.0,0.006591
MKBL order by length,6,9.0,0.007494
MKBL order by length,6,9.0,0.007054
MKBL order by length,6,9.0,0.007193
MKBL order by length,6,9.0,0.007069
MKBL order by length,6,9.0,0.010457
MKBL order by length,6,9.0000,0.007529
