Algoritmo,Allocated Pieces,Max Length on Strip,Total Allocation Time (s)
MKBL order by area,6,10.6667,0.009506
MKBL order by area,6,10.6667,0.007449
MKBL order by area,6,10.6667,0.007634
MKBL order by area,6,10.6667,0.009848
MKBL order by area,6,10.6667,0.012902
MKBL order by area,6,10.6667,0.007241
MKBL order by area,6,10.6667,0.013165
MKBL order by area,6,10.6667,0.008126
MKBL order by area,6,10.6667,0.012035
MKBL order by area,6,10.6667,0.007479
MKBL order by area,6,10.6667,0.00779
MKBL order by area,6,10.6667,0.008588
MKBL order by area,6,10.6667,0.007671
MKBL order by area,6,10.6667,0.009737
MKBL order by area,6,10.6667,0.008609
MKBL order by area,6,10.6667,0.012718
MKBL order by area,6,10.6667,0.015329
MKBL order by area,6,10.6667,0.009788
MKBL order by area,6,10.6667,0.009128
MKBL order by area,6,10.6667,0.007141
MKBL order by area,6,10.6667,0.008289
MKBL order by area,6,10.6667,0.009128
MKBL order by area,6,10.6667,0.007406
MKBL order by area,6,10.6667,0.00775
MKBL order by area,6,10.6667,0.008092
MKBL order by area,6,10.6667,0.007513
MKBL order by area,6,10.6667,0.013996
MKBL order by area,6,10.6667,0.008501
MKBL order by area,6,10.6667,0.0122
MKBL order by area,6,10.6667,0.007249
MKBL order by area,6,10.6667,0.010097
MKBL order by area,6,10.6667,0.008513
MKBL order by area,6,10.6667,0.008165
MKBL order by area,6,10.6667,0.007198
MKBL order by area,6,10.6667,0.007211
MKBL order by area,6,10.6667,0.011016
MKBL order by area,6,10.6667,0.011072
MKBL order by area,6,10.6667,0.007307
MKBL order by area,6,10.6667,0.007243
MKBL order by area,6,10.6667,0.008395
MKBL order by area,6,10.6667,0.007103
MKBL order by area,6,10.6667,0.009479
MKBL order by area,6,10.6667,0.00741
MKBL order by area,6,10.6667,0.008635
MKBL order by area,6,10.6667,0.011351
MKBL order by area,6,10.6667,0.008226
MKBL order by area,6,10.6667,0.010935
MKBL order by area,6,10.6667,0.010366
MKBL order by area,6,10.6667,0.009326
MKBL order by area,6,10.6667,0.007284
MKBL order by area,6,10.6667,0.007929
MKBL order by area,6,10.6667,0.008244
MKBL order by area,6,10.6667,0.008971
MKBL order by area,6,10.6667,0.007283
MKBL order by area,6,10.6667,0.007821
MKBL order by area,6,10.6667,0.008029
MKBL order by area,6,10.6667,0.007205
MKBL order by area,6,10.6667,0.007692
MKBL order by area,6,10.6667,0.009116
MKBL order by area,6,10.6667,0.007728
MKBL order by area,6,10.6667,0.014171
MKBL order by area,6,10.6667,0.009002
MKBL order by area,6,10.6667,0.010173
MKBL order by area,6,10.6667,0.007896
MKBL order by area,6,10.6667,0.008363
MKBL order by area,6,10.6667,0.00868
MKBL order by area,6,10.6667,0.008367
MKBL order by area,6,10.6667,0.007598
MKBL order by area,6,10.6667,0.008745
MKBL order by area,6,10.6667,0.008163
MKBL order by area,6,10.6667,0.009329
MKBL order by area,6,10.6667,0.008405
MKBL order by area,6,10.6667,0.0146
MKBL order by area,6,10.6667,0.008135
MKBL order by area,6,10.6667,0.007918
MKBL order by area,6,10.6667,0.014481
MKBL order by area,6,10.6667,0.009161
MKBL order by area,6,10.6667,0.007652
MKBL order by area,6,10.6667,0.00759
MKBL order by area,6,10.6667,0.007485
MKBL order by area,6,10.6667,0.007314
MKBL order by area,6,10.6667,0.00753
MKBL order by area,6,10.6667,0.008136
MKBL order by area,6,10.6667,0.007418
MKBL order by area,6,10.6667,0.00771
MKBL order by area,6,10.6667,0.007584
MKBL order by area,6,10.6667,0.007075
MKBL order by area,6,10.6667,0.008042
MKBL order by area,6,10.6667,0.012769
MKBL order by area,6,10.6667,0.009111
MKBL order by area,6,10.6667,0.009046
MKBL order by area,6,10.6667,0.007846
MKBL order by area,6,10.6667,0.007379
MKBL order by area,6,10.6667,0.008143
MKBL order by area,6,10.6667,0.007517
MKBL order by area,6,10.6667,0.007092
MKBL order by area,6,10.6667,0.008059
MKBL order by area,6,10.6667,0.007269
MKBL order by area,6,10.6667,0.011955
MKBL order by area,6,10.6667,0.010683
MKBL order by area,6,10.6667,0.009229
MKBL order by area,6,10.6667,0.007296
MKBL order by area,6,10.6667,0.007529
MKBL order by area,6,10.6667,0.01027
MKBL order by area,6,10.6667,0.007682
MKBL order by area,6,10.6667,0.006986
MKBL order by area,6,10.6667,0.009032
MKBL order by area,6,10.6667,0.00731
MKBL order by area,6,10.6667,0.008551
MKBL order by area,6,10.6667,0.011083
MKBL order by area,6,10.6667,0.007303
MKBL order by area,6,10.6667,0.007445
MKBL order by area,6,10.6667,0.008965
