Algoritmo,Allocated Pieces,Max Length on Strip,Total Allocation Time (s)
MKBL order by length,6,10.6667,0.007364
MKBL order by length,6,10.6667,0.007749
MKBL order by length,6,10.6667,0.013151
MKBL order by length,6,10.6667,0.007143
MKBL order by length,6,10.6667,0.007837
MKBL order by length,6,10.6667,0.007089
MKBL order by length,6,10.6667,0.007024
MKBL order by length,6,10.6667,0.007151
MKBL order by length,6,10.6667,0.007141
MKBL order by length,6,10.6667,0.007095
MKBL order by length,6,10.6667,0.007263
MKBL order by length,6,10.6667,0.007114
MKBL order by length,6,10.6667,0.007544
MKBL order by length,6,10.6667,0.007229
MKBL order by length,6,10.6667,0.006971
MKBL order by length,6,10.6667,0.006992
MKBL order by length,6,10.6667,0.007375
MKBL order by length,6,10.6667,0.007457
MKBL order by length,6,10.6667,0.007177
MKBL order by length,6,10.6667,0.007278
MKBL order by length,6,10.6667,0.00718
MKBL order by length,6,10.6667,0.006993
MKBL order by length,6,10.6667,0.007259
MKBL order by length,6,10.6667,0.007075
MKBL order by length,6,10.6667,0.00684
MKBL order by length,6,10.6667,0.007616
MKBL order by length,6,10.6667,0.007429
MKBL order by length,6,10.6667,0.007203
MKBL order by length,6,10.6667,0.007459
MKBL order by length,6,10.6667,0.007193
MKBL order by length,6,10.6667,0.007202
MKBL order by length,6,10.6667,0.00701
MKBL order by length,6,10.6667,0.007803
MKBL order by length,6,10.6667,0.006996
MKBL order by length,6,10.6667,0.007677
MKBL order by length,6,10.6667,0.007162
MKBL order by length,6,10.6667,0.007689
MKBL order by length,6,10.6667,0.007486
MKBL order by length,6,10.6667,0.007313
MKBL order by length,6,10.6667,0.007771
MKBL order by length,6,10.6667,0.007043
MKBL order by length,6,10.6667,0.007331
MKBL order by length,6,10.6667,0.007303
MKBL order by length,6,10.6667,0.00741
MKBL order by length,6,10.6667,0.007005
MKBL order by length,6,10.6667,0.007992
MKBL order by length,6,10.6667,0.007005
MKBL order by length,6,10.6667,0.007264
MKBL order by length,6,10.6667,0.006993
MKBL order by length,6,10.6667,0.007053
MKBL order by length,6,10.6667,0.007174
MKBL order by length,6,10.6667,0.007731
MKBL order by length,6,10.6667,0.007022
MKBL order by length,6,10.6667,0.006826
MKBL order by length,6,10.6667,0.006751
MKBL order by length,6,10.6667,0.007174
MKBL order by length,6,10.6667,0.006999
MKBL order by length,6,10.6667,0.007876
MKBL order by length,6,10.6667,0.007085
MKBL order by length,6,10.6667,0.007052
MKBL order by length,6,10.6667,0.00711
MKBL order by length,6,10.6667,0.007191
MKBL order by length,6,10.6667,0.007046
MKBL order by length,6,10.6667,0.006627
MKBL order by length,6,10.6667,0.007144
MKBL order by length,6,10.6667,0.007309
MKBL order by length,6,10.6667,0.007106
MKBL order by length,6,10.6667,0.007908
MKBL order by length,6,10.6667,0.007501
MKBL order by length,6,10.6667,0.007178
MKBL order by length,6,10.6667,0.007003
MKBL order by length,6,10.6667,0.007178
MKBL order by length,6,10.6667,0.007018
MKBL order by length,6,10.6667,0.007384
MKBL order by length,6,10.6667,0.007307
MKBL order by length,6,10.6667,0.007507
MKBL order by length,6,10.6667,0.007195
MKBL order by length,6,10.6667,0.007286
MKBL order by length,6,10.6667,0.007093
MKBL order by length,6,10.6667,0.007064
MKBL order by length,6,10.6667,0.007224
MKBL order by length,6,10.6667,0.006924
MKBL order by length,6,10.6667,0.006866
MKBL order by length,6,10.6667,0.00711
MKBL order by length,6,10.6667,0.007361
MKBL order by length,6,10.6667,0.007569
MKBL order by length,6,10.6667,0.007272
MKBL order by length,6,10.6667,0.007557
MKBL order by length,6,10.6667,0.007048
MKBL order by length,6,10.6667,0.006923
MKBL order by length,6,10.6667,0.006571
MKBL order by length,6,10.6667,0.008104
MKBL order by length,6,10.6667,0.007266
MKBL order by length,6,10.6667,0.007554
MKBL order by length,6,10.6667,0.007595
MKBL order by length,6,10.6667,0.007504
MKBL order by length,6,10.6667,0.006866
MKBL order by length,6,10.6667,0.007242
MKBL order by length,6,10.6667,0.006968
MKBL order by length,6,10.6667,0.006903
MKBL order by length,6,10.6667,0.006867
MKBL order by length,6,10.6667,0.007218
MKBL order by length,6,10.6667,0.007449
MKBL order by length,6,10.6667,0.007078
MKBL order by length,6,10.6667,0.006653
MKBL order by length,6,10.6667,0.006856
MKBL order by length,6,10.6667,0.007006
MKBL order by length,6,10.6667,0.006707
MKBL order by length,6,10.6667,0.007765
MKBL order by length,6,10.6667,0.007228
MKBL order by length,6,10.6667,0.007151
MKBL order by length,6,10.6667,0.007249
MKBL order by length,6,10.6667,0.007108
MKBL order by length,6,10.6667,0.006902
MKBL order by length,6,10.6667,0.007031
MKBL order by length,6,10.6667,0.006811
MKBL order by length,6,10.6667,0.006914
MKBL order by length,6,10.6667,0.006855
MKBL order by length,6,10.6667,0.00731
MKBL order by length,6,10.6667,0.007366
MKBL order by length,6,10.6667,0.007452
MKBL order by length,6,10.6667,0.006848
MKBL order by length,6,10.6667,0.006767
MKBL order by length,6,10.6667,0.007096
MKBL order by length,6,10.6667,0.007293
MKBL order by length,6,10.6667,0.007282
MKBL order by length,6,10.6667,0.007741
MKBL order by length,6,10.6667,0.007206
MKBL order by length,6,10.6667,0.006862
MKBL order by length,6,10.6667,0.007083
MKBL order by length,6,10.6667,0.007128
MKBL order by length,6,10.6667,0.007031
MKBL order by length,6,10.6667,0.008003
MKBL order by length,6,10.6667,0.00709
MKBL order by length,6,10.6667,0.007025
MKBL order by length,6,10.6667,0.007555
MKBL order by length,6,10.6667,0.006994
MKBL order by length,6,10.6667,0.007146
