Algoritmo,Allocated Pieces,Max Length on Strip,Total Allocation Time (s)
MKBL order by length,6,9.2667,0.007294
MKBL order by length,6,9.2667,0.007002
MKBL order by length,6,9.2667,0.006762
MKBL order by length,6,9.2667,0.006848
MKBL order by length,6,9.2667,0.007344
MKBL order by length,6,9.2667,0.007027
MKBL order by length,6,9.2667,0.006775
MKBL order by length,6,9.2667,0.006868
MKBL order by length,6,9.2667,0.006948
MKBL order by length,6,9.2667,0.007014
MKBL order by length,6,9.2667,0.006434
MKBL order by length,6,9.2667,0.006249
MKBL order by length,6,9.2667,0.007692
MKBL order by length,6,9.2667,0.006816
MKBL order by length,6,9.2667,0.006596
MKBL order by length,6,9.2667,0.006745
MKBL order by length,6,9.2667,0.007035
MKBL order by length,6,9.2667,0.007449
MKBL order by length,6,9.2667,0.006713
MKBL order by length,6,9.2667,0.006553
MKBL order by length,6,9.2667,0.00714
MKBL order by length,6,9.2667,0.006685
MKBL order by length,6,9.2667,0.00679
MKBL order by length,6,9.2667,0.00648
MKBL order by length,6,9.2667,0.007026
MKBL order by length,6,9.2667,0.007333
MKBL order by length,6,9.2667,0.006793
MKBL order by length,6,9.2667,0.006806
MKBL order by length,6,9.2667,0.006875
MKBL order by length,6,9.2667,0.006814
MKBL order by length,6,9.2667,0.006514
MKBL order by length,6,9.2667,0.006925
MKBL order by length,6,9.2667,0.007253
MKBL order by length,6,9.2667,0.006589
MKBL order by length,6,9.2667,0.007101
MKBL order by length,6,9.2667,0.00682
MKBL order by length,6,9.2667,0.006648
MKBL order by length,6,9.2667,0.007473
MKBL order by length,6,9.2667,0.006772
MKBL order by length,6,9.2667,0.006627
MKBL order by length,6,9.2667,0.006463
MKBL order by length,6,9.2667,0.007255
MKBL order by length,6,9.2667,0.007728
MKBL order by length,6,9.2667,0.007753
MKBL order by length,6,9.2667,0.008594
MKBL order by length,6,9.2667,0.006705
MKBL order by length,6,9.2667,0.010342
MKBL order by length,6,9.2667,0.008245
MKBL order by length,6,9.2667,0.009861
MKBL order by length,6,9.2667,0.013131
MKBL order by length,6,9.2667,0.007081
MKBL order by length,6,9.2667,0.008542
MKBL order by length,6,9.2667,0.008055
MKBL order by length,6,9.2667,0.010482
MKBL order by length,6,9.2667,0.007044
MKBL order by length,6,9.2667,0.007697
MKBL order by length,6,9.2667,0.01108
MKBL order by length,6,9.2667,0.007734
MKBL order by length,6,9.2667,0.007129
MKBL order by length,6,9.2667,0.008038
MKBL order by length,6,9.2667,0.007746
MKBL order by length,6,9.2667,0.006978
MKBL order by length,6,9.2667,0.006997
MKBL order by length,6,9.2667,0.006723
MKBL order by length,6,9.2667,0.007516
MKBL order by length,6,9.2667,0.006747
MKBL order by length,6,9.2667,0.007123
MKBL order by length,6,9.2667,0.00742
MKBL order by length,6,9.2667,0.007708
MKBL order by length,6,9.2667,0.006892
MKBL order by length,6,9.2667,0.009774
MKBL order by length,6,9.2667,0.006715
MKBL order by length,6,9.2667,0.006685
MKBL order by length,6,9.2667,0.006805
MKBL order by length,6,9.2667,0.007343
MKBL order by length,6,9.2667,0.006394
MKBL order by length,6,9.2667,0.006701
MKBL order by length,6,9.2667,0.007447
MKBL order by length,6,9.2667,0.006684
MKBL order by length,6,9.2667,0.006847
MKBL order by length,6,9.2667,0.006468
MKBL order by length,6,9.2667,0.006873
MKBL order by length,6,9.2667,0.006748
MKBL order by length,6,9.2667,0.00669
MKBL order by length,6,9.2667,0.006587
MKBL order by length,6,9.2667,0.006787
MKBL order by length,6,9.2667,0.007505
MKBL order by length,6,9.2667,0.007075
MKBL order by length,6,9.2667,0.007209
MKBL order by length,6,9.2667,0.006955
MKBL order by length,6,9.2667,0.010676
MKBL order by length,6,9.2667,0.006385
MKBL order by length,6,9.2667,0.007288
MKBL order by length,6,9.2667,0.006814
MKBL order by length,6,9.2667,0.006984
MKBL order by length,6,9.2667,0.007169
MKBL order by length,6,9.2667,0.006801
MKBL order by length,6,9.2667,0.006495
MKBL order by length,6,9.2667,0.006403
MKBL order by length,6,9.2667,0.006656
MKBL order by length,6,9.2667,0.006617
MKBL order by length,6,9.2667,0.006882
MKBL order by length,6,9.2667,0.006432
MKBL order by length,6,9.2667,0.006993
MKBL order by length,6,9.2667,0.00668
MKBL order by length,6,9.2667,0.007344
MKBL order by length,6,9.2667,0.009514
MKBL order by length,6,9.2667,0.006996
MKBL order by length,6,9.2667,0.00754
MKBL order by length,6,9.2667,0.006736
MKBL order by length,6,9.2667,0.00671
MKBL order by length,6,9.2667,0.007738
MKBL order by length,6,9.2667,0.006609
MKBL order by length,6,9.2667,0.006854
MKBL order by length,6,9.2667,0.006868
MKBL order by length,6,9.2667,0.006715
MKBL order by length,6,9.2667,0.006509
MKBL order by length,6,9.2667,0.006684
MKBL order by length,6,9.2667,0.008112
MKBL order by length,6,9.2667,0.0074
MKBL order by length,6,9.2667,0.006419
MKBL order by length,6,9.2667,0.007064
MKBL order by length,6,9.2667,0.00669
MKBL order by length,6,9.2667,0.006588
MKBL order by length,6,9.2667,0.006511
MKBL order by length,6,9.2667,0.00697
MKBL order by length,6,9.2667,0.006768
MKBL order by length,6,9.2667,0.006921
MKBL order by length,6,9.2667,0.007497
MKBL order by length,6,9.2667,0.00696
MKBL order by length,6,9.2667,0.006546
MKBL order by length,6,9.2667,0.007908
MKBL order by length,6,9.2667,0.007052
MKBL order by length,6,9.2667,0.00667
MKBL order by length,6,9.2667,0.006512
MKBL order by length,6,9.2667,0.006746
MKBL order by length,6,9.2667,0.006764
MKBL order by length,6,9.2667,0.006799
MKBL order by length,6,9.2667,0.006734
