Algoritmo,Allocated Pieces,Max Length on Strip,Total Allocation Time (s)
MKBL user choice,9,16.4778,0.023562
MKBL user choice,9,16.4778,0.02478
MKBL user choice,9,16.4778,0.030619
MKBL user choice,9,16.4778,0.024613
MKBL user choice,9,16.4778,0.023515
MKBL user choice,9,16.4778,0.023005
MKBL user choice,9,16.4778,0.022792
MKBL user choice,9,16.4778,0.023182
MKBL user choice,9,16.4778,0.027767
MKBL user choice,9,16.4778,0.027187
MKBL user choice,9,16.4778,0.023316
MKBL user choice,9,16.4778,0.023309
MKBL user choice,9,16.4778,0.02329
MKBL user choice,9,16.4778,0.02443
MKBL user choice,9,16.4778,0.022863
MKBL user choice,9,16.4778,0.023685
MKBL user choice,9,16.4778,0.022877
MKBL user choice,9,16.4778,0.023683
MKBL user choice,9,16.4778,0.023813
MKBL user choice,9,16.4778,0.021496
MKBL user choice,9,16.4778,0.024938
MKBL user choice,9,16.4778,0.02191
MKBL user choice,9,16.4778,0.024252
MKBL user choice,9,16.4778,0.024153
MKBL user choice,9,16.4778,0.026076
MKBL user choice,9,16.4778,0.022431
MKBL user choice,9,16.4778,0.023164
MKBL user choice,9,16.4778,0.025974
MKBL user choice,9,16.4778,0.031722
MKBL user choice,9,16.4778,0.024077
MKBL user choice,9,16.4778,0.024103
MKBL user choice,9,16.4778,0.024261
MKBL user choice,9,16.4778,0.02613
MKBL user choice,9,16.4778,0.023812
MKBL user choice,9,16.4778,0.032427
MKBL user choice,9,16.4778,0.031405
MKBL user choice,9,16.4778,0.028455
MKBL user choice,9,16.4778,0.024258
MKBL user choice,9,16.4778,0.031499
MKBL user choice,9,16.4778,0.023693
