Algoritmo,Allocated Pieces,Max Length on Strip,Total Allocation Time (s)
MKBL order by area,9,12.1667,0.04043
MKBL order by area,9,12.1667,0.033292
MKBL order by area,9,12.1667,0.03185
MKBL order by area,9,12.1667,0.031894
MKBL order by area,9,12.1667,0.030647
MKBL order by area,9,12.1667,0.034198
MKBL order by area,9,12.1667,0.038568
MKBL order by area,9,12.1667,0.032193
MKBL order by area,9,12.1667,0.036343
MKBL order by area,9,12.1667,0.031735
MKBL order by area,9,12.1667,0.032603
MKBL order by area,9,12.1667,0.032075
MKBL order by area,9,12.1667,0.036316
MKBL order by area,9,12.1667,0.033011
MKBL order by area,9,12.1667,0.033628
MKBL order by area,9,12.1667,0.033413
MKBL order by area,9,12.1667,0.034817
MKBL order by area,9,12.1667,0.033212
MKBL order by area,9,12.1667,0.032225
MKBL order by area,9,12.1667,0.033557
MKBL order by area,9,12.1667,0.03606
MKBL order by area,9,12.1667,0.033202
MKBL order by area,9,12.1667,0.031716
MKBL order by area,9,12.1667,0.031214
MKBL order by area,9,12.1667,0.035735
MKBL order by area,9,12.1667,0.032776
MKBL order by area,9,12.1667,0.037313
MKBL order by area,9,12.1667,0.031844
MKBL order by area,9,12.1667,0.03086
MKBL order by area,9,12.1667,0.032881
