Algoritmo,Allocated Pieces,Max Length on Strip,Total Allocation Time (s)
MKBL user choice,9,13.6667,0.028101
MKBL user choice,9,13.6667,0.028552
MKBL user choice,9,13.6667,0.031476
MKBL user choice,9,13.6667,0.030059
MKBL user choice,9,13.6667,0.030577
MKBL user choice,9,13.6667,0.032816
MKBL user choice,9,13.6667,0.030231
MKBL user choice,9,13.6667,0.052594
MKBL user choice,9,13.6667,0.035217
MKBL user choice,9,13.6667,0.029374
MKBL user choice,9,13.6667,0.033054
MKBL user choice,9,13.6667,0.031638
MKBL user choice,9,13.6667,0.031099
MKBL user choice,9,13.6667,0.033689
MKBL user choice,9,13.6667,0.03189
MKBL user choice,9,13.6667,0.030376
MKBL user choice,9,13.6667,0.028125
MKBL user choice,9,13.6667,0.024806
MKBL user choice,9,13.6667,0.025153
MKBL user choice,9,13.6667,0.02401
MKBL user choice,9,13.6667,0.025147
MKBL user choice,9,13.6667,0.025042
MKBL user choice,9,13.6667,0.024174
MKBL user choice,9,13.6667,0.025693
MKBL user choice,9,13.6667,0.025822
MKBL user choice,9,13.6667,0.026069
MKBL user choice,9,13.6667,0.025624
MKBL user choice,9,13.6667,0.024969
MKBL user choice,9,13.6667,0.025317
MKBL user choice,9,13.6667,0.024235
MKBL user choice,9,13.6667,0.038273
MKBL user choice,9,13.6667,0.024689
MKBL user choice,9,13.6667,0.023987
MKBL user choice,9,13.6667,0.025316
MKBL user choice,9,13.6667,0.024161
