Algoritmo,Allocated Pieces,Maximum Length on Strip,Total Allocation Time (s)
Bottom-Left (Area Order),6,8.0000,0.007226
Bottom-Left (Area Order),6,8.0000,0.006799
Bottom-Left (Area Order),6,8.0000,0.009966
Bottom-Left (Area Order),6,8.0000,0.007334
Bottom-Left (Area Order),6,8.0000,0.006798
Bottom-Left (Area Order),6,8.0000,0.006820
Bottom-Left (Area Order),6,8.0000,0.006940
Bottom-Left (Area Order),6,8.0000,0.006765
Bottom-Left (Area Order),6,8.0000,0.007626
Bottom-Left (Area Order),6,8.0000,0.007592
Bottom-Left (Area Order),6,8.0000,0.006651
Bottom-Left (Area Order),6,8.0000,0.007669
Bottom-Left (Area Order),6,8.0000,0.006776
Bottom-Left (Area Order),6,8.0000,0.007594
Bottom-Left (Area Order),6,8.0000,0.007512
Bottom-Left (Area Order),6,8.0000,0.006990
Bottom-Left (Area Order),6,8.0000,0.006668
Bottom-Left (Area Order),6,8.0000,0.008243
Bottom-Left (Area Order),6,8.0000,0.010621
Bottom-Left (Area Order),6,8.0000,0.009830
Bottom-Left (Area Order),6,8.0000,0.009337
Bottom-Left (Area Order),6,8.0000,0.009946
Bottom-Left (Area Order),6,8.0000,0.010284
Bottom-Left (Area Order),6,8.0000,0.012993
Bottom-Left (Area Order),6,8.0000,0.014837
Bottom-Left (Area Order),6,8.0000,0.010029
Bottom-Left (Area Order),6,8.0000,0.009589
Bottom-Left (Area Order),6,8.0000,0.009928
Bottom-Left (Area Order),6,8.0000,0.009574
Bottom-Left (Area Order),6,8.0000,0.010677
Bottom-Left (Area Order),6,8.0000,0.009431
Bottom-Left (Area Order),6,8.0000,0.010582
Bottom-Left (Area Order),6,8.0000,0.010180
Bottom-Left (Area Order),6,8.0000,0.013233
Bottom-Left (Area Order),6,8.0000,0.009535
Bottom-Left (Area Order),6,8.0000,0.009423
Bottom-Left (Area Order),6,8.0000,0.009740
Bottom-Left (Area Order),6,8.0000,0.009181
Bottom-Left (Area Order),6,8.0000,0.009036
Bottom-Left (Area Order),6,8.0000,0.009210
Bottom-Left (Area Order),6,8.0000,0.009720
Bottom-Left (Area Order),6,8.0000,0.011707
Bottom-Left (Area Order),6,8.0000,0.010512
Bottom-Left (Area Order),6,8.0000,0.009972
Bottom-Left (Area Order),6,8.0000,0.008912
Bottom-Left (Area Order),6,8.0000,0.009076
Bottom-Left (Area Order),6,8.0000,0.009644
Bottom-Left (Area Order),6,8.0000,0.010925
Bottom-Left (Area Order),6,8.0000,0.011148
Bottom-Left (Area Order),6,8.0000,0.011623
Bottom-Left (Area Order),6,8.0000,0.010740
Bottom-Left (Area Order),6,8.0000,0.014449
Bottom-Left (Area Order),6,8.0000,0.009935
Bottom-Left (Area Order),6,8.0000,0.009295
Bottom-Left (Area Order),6,8.0000,0.009333
Bottom-Left (Area Order),6,8.0000,0.010643
Bottom-Left (Area Order),6,8.0000,0.009656
Bottom-Left (Area Order),6,8.0000,0.013121
Bottom-Left (Area Order),6,8.0000,0.010279
Bottom-Left (Area Order),6,8.0000,0.010026
Bottom-Left (Area Order),6,8.0000,0.010116
Bottom-Left (Area Order),6,8.0000,0.009023
Bottom-Left (Area Order),6,8.0000,0.010051
Bottom-Left (Area Order),6,8.0000,0.009902
Bottom-Left (Area Order),6,8.0000,0.013350
Bottom-Left (Area Order),6,8.0000,0.009064
Bottom-Left (Area Order),6,8.0000,0.009511
Bottom-Left (Area Order),6,8.0000,0.009507
Bottom-Left (Area Order),6,8.0000,0.009426
Bottom-Left (Area Order),6,8.0000,0.010133
Bottom-Left (Area Order),6,8.0000,0.009210
Bottom-Left (Area Order),6,8.0000,0.009472
Bottom-Left (Area Order),6,8.0000,0.008780
Bottom-Left (Area Order),6,8.0000,0.009806
Bottom-Left (Area Order),6,8.0000,0.009336
Bottom-Left (Area Order),6,8.0000,0.010023
Bottom-Left (Area Order),6,8.0000,0.009170
Bottom-Left (Area Order),6,8.0000,0.009218
Bottom-Left (Area Order),6,8.0000,0.010296
Bottom-Left (Area Order),6,8.0000,0.009691
Bottom-Left (Area Order),6,8.0000,0.008940
Bottom-Left (Area Order),6,8.0000,0.009399
Bottom-Left (Area Order),6,8.0000,0.009262
Bottom-Left (Area Order),6,8.0000,0.009292
Bottom-Left (Area Order),6,8.0000,0.010027
Bottom-Left (Area Order),6,8.0000,0.010611
Bottom-Left (Area Order),6,8.0000,0.010947
Bottom-Left (Area Order),6,8.0000,0.010580
Bottom-Left (Area Order),6,8.0000,0.010558
Bottom-Left (Area Order),6,8.0000,0.013042
Bottom-Left (Area Order),6,8.0000,0.011936
Bottom-Left (Area Order),6,8.0000,0.014121
Bottom-Left (Area Order),6,8.0000,0.011061
Bottom-Left (Area Order),6,8.0000,0.009199
Bottom-Left (Area Order),6,8.0000,0.011588
Bottom-Left (Area Order),6,8.0000,0.009589
Bottom-Left (Area Order),6,8.0000,0.009671
Bottom-Left (Area Order),6,8.0000,0.009428
Bottom-Left (Area Order),6,8.0000,0.009042
Bottom-Left (Area Order),6,8.0000,0.010456
Bottom-Left (Area Order),6,8.0000,0.009337
Bottom-Left (Area Order),6,8.0000,0.010443
Bottom-Left (Area Order),6,8.0000,0.010136
