Algoritmo,Allocated Pieces,Maximum Length on Strip,Total Allocation Time (s)
Bottom-Left (User Choice),6,7.3333,0.009994
Bottom-Left (User Choice),6,7.3333,0.007627
Bottom-Left (User Choice),6,7.3333,0.011373
Bottom-Left (User Choice),6,7.3333,0.008777
Bottom-Left (User Choice),6,7.3333,0.009618
Bottom-Left (User Choice),6,7.3333,0.009720
Bottom-Left (User Choice),6,7.3333,0.009803
Bottom-Left (User Choice),6,7.3333,0.009820
Bottom-Left (User Choice),6,7.3333,0.010997
Bottom-Left (User Choice),6,7.3333,0.009097
Bottom-Left (User Choice),6,7.3333,0.009728
Bottom-Left (User Choice),6,7.3333,0.009728
Bottom-Left (User Choice),6,7.3333,0.008851
Bottom-Left (User Choice),6,7.3333,0.009714
Bottom-Left (User Choice),6,7.3333,0.012553
Bottom-Left (User Choice),6,7.3333,0.009312
Bottom-Left (User Choice),6,7.3333,0.008651
Bottom-Left (User Choice),6,7.3333,0.009569
Bottom-Left (User Choice),6,7.3333,0.008466
Bottom-Left (User Choice),6,7.3333,0.010583
Bottom-Left (User Choice),6,7.3333,0.011872
Bottom-Left (User Choice),6,7.3333,0.012843
Bottom-Left (User Choice),6,7.3333,0.012254
Bottom-Left (User Choice),6,7.3333,0.009176
Bottom-Left (User Choice),6,7.3333,0.011009
Bottom-Left (User Choice),6,7.3333,0.009900
Bottom-Left (User Choice),6,7.3333,0.009995
Bottom-Left (User Choice),6,7.3333,0.009164
Bottom-Left (User Choice),6,7.3333,0.012398
Bottom-Left (User Choice),6,7.3333,0.009475
Bottom-Left (User Choice),6,7.3333,0.009158
Bottom-Left (User Choice),6,7.3333,0.010274
Bottom-Left (User Choice),6,7.3333,0.010937
Bottom-Left (User Choice),6,7.3333,0.009875
Bottom-Left (User Choice),6,7.3333,0.007714
Bottom-Left (User Choice),6,7.3333,0.010090
Bottom-Left (User Choice),6,7.3333,0.010589
Bottom-Left (User Choice),6,7.3333,0.009547
Bottom-Left (User Choice),6,7.3333,0.008846
Bottom-Left (User Choice),6,7.3333,0.010280
Bottom-Left (User Choice),6,7.3333,0.009135
Bottom-Left (User Choice),6,7.3333,0.009921
Bottom-Left (User Choice),6,7.3333,0.009244
Bottom-Left (User Choice),6,7.3333,0.009860
Bottom-Left (User Choice),6,7.3333,0.010182
Bottom-Left (User Choice),6,7.3333,0.011143
Bottom-Left (User Choice),6,7.3333,0.015527
Bottom-Left (User Choice),6,7.3333,0.009286
Bottom-Left (User Choice),6,7.3333,0.010042
Bottom-Left (User Choice),6,7.3333,0.009623
Bottom-Left (User Choice),6,7.3333,0.010524
Bottom-Left (User Choice),6,7.3333,0.008824
Bottom-Left (User Choice),6,7.3333,0.008887
Bottom-Left (User Choice),6,7.3333,0.009229
Bottom-Left (User Choice),6,7.3333,0.015628
Bottom-Left (User Choice),6,7.3333,0.008639
Bottom-Left (User Choice),6,7.3333,0.008621
Bottom-Left (User Choice),6,7.3333,0.009046
Bottom-Left (User Choice),6,7.3333,0.010222
Bottom-Left (User Choice),6,7.3333,0.009327
Bottom-Left (User Choice),6,7.3333,0.009786
Bottom-Left (User Choice),6,7.3333,0.010128
Bottom-Left (User Choice),6,7.3333,0.009124
Bottom-Left (User Choice),6,7.3333,0.008790
Bottom-Left (User Choice),6,7.3333,0.008874
Bottom-Left (User Choice),6,7.3333,0.010705
Bottom-Left (User Choice),6,7.3333,0.009555
Bottom-Left (User Choice),6,7.3333,0.008790
Bottom-Left (User Choice),6,7.3333,0.011854
Bottom-Left (User Choice),6,7.3333,0.013613
Bottom-Left (User Choice),6,7.3333,0.009300
Bottom-Left (User Choice),6,7.3333,0.010261
Bottom-Left (User Choice),6,7.3333,0.013367
Bottom-Left (User Choice),6,7.3333,0.009636
Bottom-Left (User Choice),6,7.3333,0.009787
Bottom-Left (User Choice),6,7.3333,0.009104
Bottom-Left (User Choice),6,7.3333,0.010735
Bottom-Left (User Choice),6,7.3333,0.011364
Bottom-Left (User Choice),6,7.3333,0.016067
Bottom-Left (User Choice),6,7.3333,0.009610
Bottom-Left (User Choice),6,7.3333,0.009678
Bottom-Left (User Choice),6,7.3333,0.009905
Bottom-Left (User Choice),6,7.3333,0.008886
Bottom-Left (User Choice),6,7.3333,0.010384
Bottom-Left (User Choice),6,7.3333,0.009529
Bottom-Left (User Choice),6,7.3333,0.009178
Bottom-Left (User Choice),6,7.3333,0.009425
Bottom-Left (User Choice),6,7.3333,0.008673
Bottom-Left (User Choice),6,7.3333,0.009810
Bottom-Left (User Choice),6,7.3333,0.010761
Bottom-Left (User Choice),6,7.3333,0.009710
Bottom-Left (User Choice),6,7.3333,0.009902
Bottom-Left (User Choice),6,7.3333,0.009948
Bottom-Left (User Choice),6,7.3333,0.011838
Bottom-Left (User Choice),6,7.3333,0.009400
Bottom-Left (User Choice),6,7.3333,0.010287
Bottom-Left (User Choice),6,7.3333,0.008770
Bottom-Left (User Choice),6,7.3333,0.009691
Bottom-Left (User Choice),6,7.3333,0.008838
Bottom-Left (User Choice),6,7.3333,0.009827
