Algoritmo,Allocated Pieces,Maximum Length on Strip,Total Allocation Time (s)
Bottom-Left (Max Length Order),6,9.0000,0.008770
Bottom-Left (Max Length Order),6,9.0000,0.009436
Bottom-Left (Max Length Order),6,9.0000,0.007106
Bottom-Left (Max Length Order),6,9.0000,0.016131
Bottom-Left (Max Length Order),6,9.0000,0.008630
Bottom-Left (Max Length Order),6,9.0000,0.014103
Bottom-Left (Max Length Order),6,9.0000,0.009770
Bottom-Left (Max Length Order),6,9.0000,0.009624
Bottom-Left (Max Length Order),6,9.0000,0.009368
Bottom-Left (Max Length Order),6,9.0000,0.010747
Bottom-Left (Max Length Order),6,9.0000,0.008657
Bottom-Left (Max Length Order),6,9.0000,0.008569
Bottom-Left (Max Length Order),6,9.0000,0.008172
Bottom-Left (Max Length Order),6,9.0000,0.009548
Bottom-Left (Max Length Order),6,9.0000,0.016907
Bottom-Left (Max Length Order),6,9.0000,0.012421
Bottom-Left (Max Length Order),6,9.0000,0.008773
Bottom-Left (Max Length Order),6,9.0000,0.011179
Bottom-Left (Max Length Order),6,9.0000,0.009672
Bottom-Left (Max Length Order),6,9.0000,0.009773
Bottom-Left (Max Length Order),6,9.0000,0.009716
Bottom-Left (Max Length Order),6,9.0000,0.009248
Bottom-Left (Max Length Order),6,9.0000,0.009261
Bottom-Left (Max Length Order),6,9.0000,0.011402
Bottom-Left (Max Length Order),6,9.0000,0.009137
Bottom-Left (Max Length Order),6,9.0000,0.010672
Bottom-Left (Max Length Order),6,9.0000,0.010726
Bottom-Left (Max Length Order),6,9.0000,0.009025
Bottom-Left (Max Length Order),6,9.0000,0.008451
Bottom-Left (Max Length Order),6,9.0000,0.009368
Bottom-Left (Max Length Order),6,9.0000,0.008991
Bottom-Left (Max Length Order),6,9.0000,0.010108
Bottom-Left (Max Length Order),6,9.0000,0.008831
Bottom-Left (Max Length Order),6,9.0000,0.009259
Bottom-Left (Max Length Order),6,9.0000,0.010049
Bottom-Left (Max Length Order),6,9.0000,0.010020
Bottom-Left (Max Length Order),6,9.0000,0.011366
Bottom-Left (Max Length Order),6,9.0000,0.011861
Bottom-Left (Max Length Order),6,9.0000,0.009445
Bottom-Left (Max Length Order),6,9.0000,0.009167
Bottom-Left (Max Length Order),6,9.0000,0.009029
Bottom-Left (Max Length Order),6,9.0000,0.009367
Bottom-Left (Max Length Order),6,9.0000,0.009505
Bottom-Left (Max Length Order),6,9.0000,0.010633
Bottom-Left (Max Length Order),6,9.0000,0.009678
Bottom-Left (Max Length Order),6,9.0000,0.009400
Bottom-Left (Max Length Order),6,9.0000,0.012899
Bottom-Left (Max Length Order),6,9.0000,0.009179
Bottom-Left (Max Length Order),6,9.0000,0.010694
Bottom-Left (Max Length Order),6,9.0000,0.010773
Bottom-Left (Max Length Order),6,9.0000,0.008690
Bottom-Left (Max Length Order),6,9.0000,0.008901
Bottom-Left (Max Length Order),6,9.0000,0.009754
Bottom-Left (Max Length Order),6,9.0000,0.010007
Bottom-Left (Max Length Order),6,9.0000,0.010266
Bottom-Left (Max Length Order),6,9.0000,0.009123
Bottom-Left (Max Length Order),6,9.0000,0.011661
Bottom-Left (Max Length Order),6,9.0000,0.008915
Bottom-Left (Max Length Order),6,9.0000,0.008550
Bottom-Left (Max Length Order),6,9.0000,0.009870
Bottom-Left (Max Length Order),6,9.0000,0.009134
Bottom-Left (Max Length Order),6,9.0000,0.008609
Bottom-Left (Max Length Order),6,9.0000,0.009427
Bottom-Left (Max Length Order),6,9.0000,0.008981
Bottom-Left (Max Length Order),6,9.0000,0.010930
Bottom-Left (Max Length Order),6,9.0000,0.009543
Bottom-Left (Max Length Order),6,9.0000,0.008905
Bottom-Left (Max Length Order),6,9.0000,0.009679
Bottom-Left (Max Length Order),6,9.0000,0.011556
Bottom-Left (Max Length Order),6,9.0000,0.010033
Bottom-Left (Max Length Order),6,9.0000,0.009556
Bottom-Left (Max Length Order),6,9.0000,0.008806
Bottom-Left (Max Length Order),6,9.0000,0.008920
Bottom-Left (Max Length Order),6,9.0000,0.010123
Bottom-Left (Max Length Order),6,9.0000,0.008155
Bottom-Left (Max Length Order),6,9.0000,0.009481
Bottom-Left (Max Length Order),6,9.0000,0.009754
Bottom-Left (Max Length Order),6,9.0000,0.009040
Bottom-Left (Max Length Order),6,9.0000,0.009303
Bottom-Left (Max Length Order),6,9.0000,0.008720
Bottom-Left (Max Length Order),6,9.0000,0.008867
Bottom-Left (Max Length Order),6,9.0000,0.009977
Bottom-Left (Max Length Order),6,9.0000,0.010664
Bottom-Left (Max Length Order),6,9.0000,0.010017
Bottom-Left (Max Length Order),6,9.0000,0.009202
Bottom-Left (Max Length Order),6,9.0000,0.009296
Bottom-Left (Max Length Order),6,9.0000,0.009499
Bottom-Left (Max Length Order),6,9.0000,0.010485
Bottom-Left (Max Length Order),6,9.0000,0.009297
Bottom-Left (Max Length Order),6,9.0000,0.014950
Bottom-Left (Max Length Order),6,9.0000,0.020143
Bottom-Left (Max Length Order),6,9.0000,0.014967
Bottom-Left (Max Length Order),6,9.0000,0.009902
Bottom-Left (Max Length Order),6,9.0000,0.008609
Bottom-Left (Max Length Order),6,9.0000,0.012006
Bottom-Left (Max Length Order),6,9.0000,0.008614
Bottom-Left (Max Length Order),6,9.0000,0.008275
Bottom-Left (Max Length Order),6,9.0000,0.010106
Bottom-Left (Max Length Order),6,9.0000,0.009685
Bottom-Left (Max Length Order),6,9.0000,0.008692
