Algoritmo,Allocated Pieces,Maximum Length on Strip,Total Allocation Time (s)
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.009679
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.009011
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.009696
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010199
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.009729
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.009645
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010321
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.009767
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.009223
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.009108
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010176
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.009946
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.009194
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.009920
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010595
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010081
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010313
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.009333
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.009496
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.009567
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.009788
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.009455
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.009779
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010183
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.009369
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.009087
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.009765
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010233
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.008942
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.009420
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.009484
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010125
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.009485
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.012216
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.011655
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010525
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.011035
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010243
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.009874
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010612
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.011856
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.011541
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010520
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010894
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010367
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.012185
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.012167
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.012744
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.011390
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010674
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010965
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.011294
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010474
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010354
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.011411
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.012688
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.012547
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.013207
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.014118
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.011343
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.011529
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.012167
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010129
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.011109
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010848
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010663
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.011268
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.012079
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.012231
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010366
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.014665
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010185
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010010
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010067
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.012728
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.013274
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.012067
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.011631
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010401
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.011176
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.013439
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.012738
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.011130
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.011307
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.012884
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.011925
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010996
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.011439
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010419
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.009995
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.011163
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.011091
Bottom-Left (Bounding Box to Area Ratio Order),6,8.0000,0.010445
