Algoritmo,Allocated Pieces,Maximum Length on Strip,Total Allocation Time (s)
Bottom-Left (User Choice),6,11.8667,0.010877
Bottom-Left (User Choice),6,11.8667,0.008187
Bottom-Left (User Choice),6,11.8667,0.008225
Bottom-Left (User Choice),6,11.8667,0.010232
Bottom-Left (User Choice),6,11.8667,0.011714
Bottom-Left (User Choice),6,11.8667,0.008486
Bottom-Left (User Choice),6,11.8667,0.009035
Bottom-Left (User Choice),6,11.8667,0.009379
Bottom-Left (User Choice),6,11.8667,0.009819
Bottom-Left (User Choice),6,11.8667,0.008897
Bottom-Left (User Choice),6,11.8667,0.015436
Bottom-Left (User Choice),6,11.8667,0.009201
Bottom-Left (User Choice),6,11.8667,0.009271
Bottom-Left (User Choice),6,11.8667,0.009802
Bottom-Left (User Choice),6,11.8667,0.008811
Bottom-Left (User Choice),6,11.8667,0.009908
Bottom-Left (User Choice),6,11.8667,0.009122
Bottom-Left (User Choice),6,11.8667,0.008721
Bottom-Left (User Choice),6,11.8667,0.009911
Bottom-Left (User Choice),6,11.8667,0.009263
Bottom-Left (User Choice),6,11.8667,0.008975
Bottom-Left (User Choice),6,11.8667,0.008549
Bottom-Left (User Choice),6,11.8667,0.009125
Bottom-Left (User Choice),6,11.8667,0.009720
Bottom-Left (User Choice),6,11.8667,0.013007
Bottom-Left (User Choice),6,11.8667,0.014195
Bottom-Left (User Choice),6,11.8667,0.009684
Bottom-Left (User Choice),6,11.8667,0.010563
Bottom-Left (User Choice),6,11.8667,0.009925
Bottom-Left (User Choice),6,11.8667,0.010026
Bottom-Left (User Choice),6,11.8667,0.009515
Bottom-Left (User Choice),6,11.8667,0.008771
Bottom-Left (User Choice),6,11.8667,0.010493
Bottom-Left (User Choice),6,11.8667,0.014065
Bottom-Left (User Choice),6,11.8667,0.009248
Bottom-Left (User Choice),6,11.8667,0.008547
Bottom-Left (User Choice),6,11.8667,0.011955
Bottom-Left (User Choice),6,11.8667,0.010268
Bottom-Left (User Choice),6,11.8667,0.007778
Bottom-Left (User Choice),6,11.8667,0.016323
Bottom-Left (User Choice),6,11.8667,0.008815
Bottom-Left (User Choice),6,11.8667,0.010944
Bottom-Left (User Choice),6,11.8667,0.008657
Bottom-Left (User Choice),6,11.8667,0.010510
Bottom-Left (User Choice),6,11.8667,0.009237
Bottom-Left (User Choice),6,11.8667,0.008635
Bottom-Left (User Choice),6,11.8667,0.008996
Bottom-Left (User Choice),6,11.8667,0.009638
Bottom-Left (User Choice),6,11.8667,0.008872
Bottom-Left (User Choice),6,11.8667,0.016008
Bottom-Left (User Choice),6,11.8667,0.009175
Bottom-Left (User Choice),6,11.8667,0.016309
Bottom-Left (User Choice),6,11.8667,0.008564
Bottom-Left (User Choice),6,11.8667,0.016226
Bottom-Left (User Choice),6,11.8667,0.009238
Bottom-Left (User Choice),6,11.8667,0.009210
Bottom-Left (User Choice),6,11.8667,0.008922
Bottom-Left (User Choice),6,11.8667,0.008801
Bottom-Left (User Choice),6,11.8667,0.009140
Bottom-Left (User Choice),6,11.8667,0.008464
Bottom-Left (User Choice),6,11.8667,0.011976
Bottom-Left (User Choice),6,11.8667,0.009188
Bottom-Left (User Choice),6,11.8667,0.012095
Bottom-Left (User Choice),6,11.8667,0.009661
Bottom-Left (User Choice),6,11.8667,0.009228
Bottom-Left (User Choice),6,11.8667,0.008706
Bottom-Left (User Choice),6,11.8667,0.014325
Bottom-Left (User Choice),6,11.8667,0.008883
Bottom-Left (User Choice),6,11.8667,0.009635
Bottom-Left (User Choice),6,11.8667,0.014193
Bottom-Left (User Choice),6,11.8667,0.009709
Bottom-Left (User Choice),6,11.8667,0.009278
Bottom-Left (User Choice),6,11.8667,0.008824
Bottom-Left (User Choice),6,11.8667,0.013094
Bottom-Left (User Choice),6,11.8667,0.008668
Bottom-Left (User Choice),6,11.8667,0.014822
Bottom-Left (User Choice),6,11.8667,0.010545
Bottom-Left (User Choice),6,11.8667,0.008965
Bottom-Left (User Choice),6,11.8667,0.009869
Bottom-Left (User Choice),6,11.8667,0.013831
Bottom-Left (User Choice),6,11.8667,0.016200
Bottom-Left (User Choice),6,11.8667,0.009518
Bottom-Left (User Choice),6,11.8667,0.009849
Bottom-Left (User Choice),6,11.8667,0.010019
Bottom-Left (User Choice),6,11.8667,0.010013
Bottom-Left (User Choice),6,11.8667,0.008988
Bottom-Left (User Choice),6,11.8667,0.009197
Bottom-Left (User Choice),6,11.8667,0.008999
Bottom-Left (User Choice),6,11.8667,0.008863
Bottom-Left (User Choice),6,11.8667,0.015623
Bottom-Left (User Choice),6,11.8667,0.009494
Bottom-Left (User Choice),6,11.8667,0.012814
Bottom-Left (User Choice),6,11.8667,0.024258
Bottom-Left (User Choice),6,11.8667,0.009337
Bottom-Left (User Choice),6,11.8667,0.008812
Bottom-Left (User Choice),6,11.8667,0.009140
