Algoritmo,Allocated Pieces,Maximum Length on Strip,Total Allocation Time (s)
Bottom-Left (Max Length Order),6,10.6667,0.010080
Bottom-Left (Max Length Order),6,10.6667,0.011111
Bottom-Left (Max Length Order),6,10.6667,0.009162
Bottom-Left (Max Length Order),6,10.6667,0.008908
Bottom-Left (Max Length Order),6,10.6667,0.008979
Bottom-Left (Max Length Order),6,10.6667,0.009550
Bottom-Left (Max Length Order),6,10.6667,0.015647
Bottom-Left (Max Length Order),6,10.6667,0.008849
Bottom-Left (Max Length Order),6,10.6667,0.013628
Bottom-Left (Max Length Order),6,10.6667,0.009562
Bottom-Left (Max Length Order),6,10.6667,0.013875
Bottom-Left (Max Length Order),6,10.6667,0.011347
Bottom-Left (Max Length Order),6,10.6667,0.010820
Bottom-Left (Max Length Order),6,10.6667,0.009456
Bottom-Left (Max Length Order),6,10.6667,0.010083
Bottom-Left (Max Length Order),6,10.6667,0.008994
Bottom-Left (Max Length Order),6,10.6667,0.009392
Bottom-Left (Max Length Order),6,10.6667,0.009307
Bottom-Left (Max Length Order),6,10.6667,0.011052
Bottom-Left (Max Length Order),6,10.6667,0.010604
Bottom-Left (Max Length Order),6,10.6667,0.008892
Bottom-Left (Max Length Order),6,10.6667,0.011119
Bottom-Left (Max Length Order),6,10.6667,0.011950
Bottom-Left (Max Length Order),6,10.6667,0.009549
Bottom-Left (Max Length Order),6,10.6667,0.009539
Bottom-Left (Max Length Order),6,10.6667,0.013024
Bottom-Left (Max Length Order),6,10.6667,0.009938
Bottom-Left (Max Length Order),6,10.6667,0.010056
Bottom-Left (Max Length Order),6,10.6667,0.010499
Bottom-Left (Max Length Order),6,10.6667,0.009816
Bottom-Left (Max Length Order),6,10.6667,0.013237
Bottom-Left (Max Length Order),6,10.6667,0.012632
Bottom-Left (Max Length Order),6,10.6667,0.010841
Bottom-Left (Max Length Order),6,10.6667,0.009863
Bottom-Left (Max Length Order),6,10.6667,0.010436
Bottom-Left (Max Length Order),6,10.6667,0.011826
Bottom-Left (Max Length Order),6,10.6667,0.009403
Bottom-Left (Max Length Order),6,10.6667,0.012241
Bottom-Left (Max Length Order),6,10.6667,0.011245
Bottom-Left (Max Length Order),6,10.6667,0.011187
Bottom-Left (Max Length Order),6,10.6667,0.009616
Bottom-Left (Max Length Order),6,10.6667,0.009515
Bottom-Left (Max Length Order),6,10.6667,0.009430
Bottom-Left (Max Length Order),6,10.6667,0.010723
Bottom-Left (Max Length Order),6,10.6667,0.009453
Bottom-Left (Max Length Order),6,10.6667,0.014708
Bottom-Left (Max Length Order),6,10.6667,0.010605
Bottom-Left (Max Length Order),6,10.6667,0.009561
Bottom-Left (Max Length Order),6,10.6667,0.011123
Bottom-Left (Max Length Order),6,10.6667,0.010602
Bottom-Left (Max Length Order),6,10.6667,0.013233
Bottom-Left (Max Length Order),6,10.6667,0.011130
Bottom-Left (Max Length Order),6,10.6667,0.012603
Bottom-Left (Max Length Order),6,10.6667,0.011272
Bottom-Left (Max Length Order),6,10.6667,0.009911
Bottom-Left (Max Length Order),6,10.6667,0.009838
Bottom-Left (Max Length Order),6,10.6667,0.009563
Bottom-Left (Max Length Order),6,10.6667,0.009456
Bottom-Left (Max Length Order),6,10.6667,0.009187
Bottom-Left (Max Length Order),6,10.6667,0.012185
Bottom-Left (Max Length Order),6,10.6667,0.009751
Bottom-Left (Max Length Order),6,10.6667,0.010669
Bottom-Left (Max Length Order),6,10.6667,0.011248
Bottom-Left (Max Length Order),6,10.6667,0.015537
Bottom-Left (Max Length Order),6,10.6667,0.009852
Bottom-Left (Max Length Order),6,10.6667,0.010839
Bottom-Left (Max Length Order),6,10.6667,0.010734
Bottom-Left (Max Length Order),6,10.6667,0.011051
Bottom-Left (Max Length Order),6,10.6667,0.010082
Bottom-Left (Max Length Order),6,10.6667,0.012238
Bottom-Left (Max Length Order),6,10.6667,0.010097
Bottom-Left (Max Length Order),6,10.6667,0.010753
Bottom-Left (Max Length Order),6,10.6667,0.011259
Bottom-Left (Max Length Order),6,10.6667,0.009331
Bottom-Left (Max Length Order),6,10.6667,0.009282
Bottom-Left (Max Length Order),6,10.6667,0.010849
Bottom-Left (Max Length Order),6,10.6667,0.011492
Bottom-Left (Max Length Order),6,10.6667,0.009626
Bottom-Left (Max Length Order),6,10.6667,0.011314
Bottom-Left (Max Length Order),6,10.6667,0.013855
Bottom-Left (Max Length Order),6,10.6667,0.010254
Bottom-Left (Max Length Order),6,10.6667,0.010952
Bottom-Left (Max Length Order),6,10.6667,0.017938
Bottom-Left (Max Length Order),6,10.6667,0.011421
Bottom-Left (Max Length Order),6,10.6667,0.011086
Bottom-Left (Max Length Order),6,10.6667,0.009540
Bottom-Left (Max Length Order),6,10.6667,0.009521
Bottom-Left (Max Length Order),6,10.6667,0.010245
Bottom-Left (Max Length Order),6,10.6667,0.010789
Bottom-Left (Max Length Order),6,10.6667,0.009941
Bottom-Left (Max Length Order),6,10.6667,0.008907
Bottom-Left (Max Length Order),6,10.6667,0.009843
Bottom-Left (Max Length Order),6,10.6667,0.010302
