Algoritmo,Allocated Pieces,Maximum Length on Strip,Total Allocation Time (s)
Bottom-Left (User Choice),6,10.1000,0.010405
Bottom-Left (User Choice),6,10.1000,0.009041
Bottom-Left (User Choice),6,10.1000,0.008903
Bottom-Left (User Choice),6,10.1000,0.009766
Bottom-Left (User Choice),6,10.1000,0.009208
Bottom-Left (User Choice),6,10.1000,0.009904
Bottom-Left (User Choice),6,10.1000,0.008973
Bottom-Left (User Choice),6,10.1000,0.008715
Bottom-Left (User Choice),6,10.1000,0.009334
Bottom-Left (User Choice),6,10.1000,0.010391
Bottom-Left (User Choice),6,10.1000,0.009313
Bottom-Left (User Choice),6,10.1000,0.009348
Bottom-Left (User Choice),6,10.1000,0.012434
Bottom-Left (User Choice),6,10.1000,0.009255
Bottom-Left (User Choice),6,10.1000,0.011161
Bottom-Left (User Choice),6,10.1000,0.010311
Bottom-Left (User Choice),6,10.1000,0.011040
Bottom-Left (User Choice),6,10.1000,0.009566
Bottom-Left (User Choice),6,10.1000,0.010123
Bottom-Left (User Choice),6,10.1000,0.011117
Bottom-Left (User Choice),6,10.1000,0.008654
Bottom-Left (User Choice),6,10.1000,0.009434
Bottom-Left (User Choice),6,10.1000,0.009044
Bottom-Left (User Choice),6,10.1000,0.008783
Bottom-Left (User Choice),6,10.1000,0.012290
Bottom-Left (User Choice),6,10.1000,0.008929
Bottom-Left (User Choice),6,10.1000,0.009601
Bottom-Left (User Choice),6,10.1000,0.010940
Bottom-Left (User Choice),6,10.1000,0.010368
Bottom-Left (User Choice),6,10.1000,0.011546
Bottom-Left (User Choice),6,10.1000,0.008902
Bottom-Left (User Choice),6,10.1000,0.010705
Bottom-Left (User Choice),6,10.1000,0.010132
Bottom-Left (User Choice),6,10.1000,0.009977
Bottom-Left (User Choice),6,10.1000,0.011574
Bottom-Left (User Choice),6,10.1000,0.010542
Bottom-Left (User Choice),6,10.1000,0.010336
Bottom-Left (User Choice),6,10.1000,0.010645
Bottom-Left (User Choice),6,10.1000,0.011437
Bottom-Left (User Choice),6,10.1000,0.012524
Bottom-Left (User Choice),6,10.1000,0.008922
Bottom-Left (User Choice),6,10.1000,0.010668
Bottom-Left (User Choice),6,10.1000,0.010289
Bottom-Left (User Choice),6,10.1000,0.011316
Bottom-Left (User Choice),6,10.1000,0.016064
Bottom-Left (User Choice),6,10.1000,0.013019
Bottom-Left (User Choice),6,10.1000,0.010641
Bottom-Left (User Choice),6,10.1000,0.009103
Bottom-Left (User Choice),6,10.1000,0.011036
Bottom-Left (User Choice),6,10.1000,0.010244
Bottom-Left (User Choice),6,10.1000,0.008741
Bottom-Left (User Choice),6,10.1000,0.008975
Bottom-Left (User Choice),6,10.1000,0.008681
Bottom-Left (User Choice),6,10.1000,0.012999
Bottom-Left (User Choice),6,10.1000,0.011664
Bottom-Left (User Choice),6,10.1000,0.010179
Bottom-Left (User Choice),6,10.1000,0.009094
Bottom-Left (User Choice),6,10.1000,0.010908
Bottom-Left (User Choice),6,10.1000,0.010772
Bottom-Left (User Choice),6,10.1000,0.010588
Bottom-Left (User Choice),6,10.1000,0.014483
Bottom-Left (User Choice),6,10.1000,0.008835
Bottom-Left (User Choice),6,10.1000,0.008501
Bottom-Left (User Choice),6,10.1000,0.009724
Bottom-Left (User Choice),6,10.1000,0.010737
Bottom-Left (User Choice),6,10.1000,0.009724
Bottom-Left (User Choice),6,10.1000,0.008890
Bottom-Left (User Choice),6,10.1000,0.010720
Bottom-Left (User Choice),6,10.1000,0.010201
Bottom-Left (User Choice),6,10.1000,0.014375
Bottom-Left (User Choice),6,10.1000,0.010173
Bottom-Left (User Choice),6,10.1000,0.008658
Bottom-Left (User Choice),6,10.1000,0.014440
Bottom-Left (User Choice),6,10.1000,0.017368
