Algoritmo,Allocated Pieces,Maximum Length on Strip,Total Allocation Time (s)
Bottom-Left (Area Order),9,16.3333,0.034795
Bottom-Left (Area Order),9,16.3333,0.038019
Bottom-Left (Area Order),9,16.3333,0.039122
Bottom-Left (Area Order),9,16.3333,0.033046
Bottom-Left (Area Order),9,16.3333,0.035878
Bottom-Left (Area Order),9,16.3333,0.033144
Bottom-Left (Area Order),9,16.3333,0.038147
Bottom-Left (Area Order),9,16.3333,0.039114
Bottom-Left (Area Order),9,16.3333,0.043296
Bottom-Left (Area Order),9,16.3333,0.050183
Bottom-Left (Area Order),9,16.3333,0.052845
Bottom-Left (Area Order),9,16.3333,0.043543
Bottom-Left (Area Order),9,16.3333,0.039853
Bottom-Left (Area Order),9,16.3333,0.036248
Bottom-Left (Area Order),9,16.3333,0.037202
Bottom-Left (Area Order),9,16.3333,0.035432
Bottom-Left (Area Order),9,16.3333,0.032049
Bottom-Left (Area Order),9,16.3333,0.032251
Bottom-Left (Area Order),9,16.3333,0.033337
Bottom-Left (Area Order),9,16.3333,0.033092
Bottom-Left (Area Order),9,16.3333,0.032472
Bottom-Left (Area Order),9,16.3333,0.034358
Bottom-Left (Area Order),9,16.3333,0.030555
Bottom-Left (Area Order),9,16.3333,0.035434
Bottom-Left (Area Order),9,16.3333,0.034036
Bottom-Left (Area Order),9,16.3333,0.032115
Bottom-Left (Area Order),9,16.3333,0.033121
Bottom-Left (Area Order),9,16.3333,0.038017
