Algoritmo,Allocated Pieces,Maximum Length on Strip,Total Allocation Time (s)
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.032524
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.031966
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.030296
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.030890
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.034129
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.034333
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.030743
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.032815
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.030353
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.032291
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.033287
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.035458
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.031203
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.031935
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.032398
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.031512
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.031193
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.034479
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.031746
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.033634
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.031943
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.030901
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.032138
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.032153
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.032690
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.036699
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.033545
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.030362
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.040767
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.038866
Bottom-Left (Bounding Box to Area Ratio Order),9,16.3333,0.034689
