Algoritmo,Allocated Pieces,Maximum Length on Strip,Total Allocation Time (s)
Bottom-Left (Area Order),9,12.1667,0.048887
Bottom-Left (Area Order),9,12.1667,0.040579
Bottom-Left (Area Order),9,12.1667,0.045542
Bottom-Left (Area Order),9,12.1667,0.036294
Bottom-Left (Area Order),9,12.1667,0.036531
Bottom-Left (Area Order),9,12.1667,0.042825
Bottom-Left (Area Order),9,12.1667,0.046066
Bottom-Left (Area Order),9,12.1667,0.055064
Bottom-Left (Area Order),9,12.1667,0.056626
Bottom-Left (Area Order),9,12.1667,0.040318
Bottom-Left (Area Order),9,12.1667,0.035682
Bottom-Left (Area Order),9,12.1667,0.036247
Bottom-Left (Area Order),9,12.1667,0.057879
Bottom-Left (Area Order),9,12.1667,0.036636
Bottom-Left (Area Order),9,12.1667,0.039951
Bottom-Left (Area Order),9,12.1667,0.043409
Bottom-Left (Area Order),9,12.1667,0.053308
Bottom-Left (Area Order),9,12.1667,0.035931
Bottom-Left (Area Order),9,12.1667,0.036221
Bottom-Left (Area Order),9,12.1667,0.047663
Bottom-Left (Area Order),9,12.1667,0.051255
Bottom-Left (Area Order),9,12.1667,0.038942
Bottom-Left (Area Order),9,12.1667,0.061727
