Algoritmo,Allocated Pieces,Maximum Length on Strip,Total Allocation Time (s)
Bottom-Left (Max Length Order),9,14.0000,0.032135
Bottom-Left (Max Length Order),9,14.0000,0.033985
Bottom-Left (Max Length Order),9,14.0000,0.032238
Bottom-Left (Max Length Order),9,14.0000,0.032164
Bottom-Left (Max Length Order),9,14.0000,0.048178
Bottom-Left (Max Length Order),9,14.0000,0.032425
Bottom-Left (Max Length Order),9,14.0000,0.042504
Bottom-Left (Max Length Order),9,14.0000,0.032306
Bottom-Left (Max Length Order),9,14.0000,0.037333
Bottom-Left (Max Length Order),9,14.0000,0.040083
Bottom-Left (Max Length Order),9,14.0000,0.033193
Bottom-Left (Max Length Order),9,14.0000,0.033205
Bottom-Left (Max Length Order),9,14.0000,0.039063
Bottom-Left (Max Length Order),9,14.0000,0.031994
Bottom-Left (Max Length Order),9,14.0000,0.033770
Bottom-Left (Max Length Order),9,14.0000,0.035073
Bottom-Left (Max Length Order),9,14.0000,0.031766
Bottom-Left (Max Length Order),9,14.0000,0.037208
Bottom-Left (Max Length Order),9,14.0000,0.033402
Bottom-Left (Max Length Order),9,14.0000,0.037564
Bottom-Left (Max Length Order),9,14.0000,0.032318
Bottom-Left (Max Length Order),9,14.0000,0.041748
Bottom-Left (Max Length Order),9,14.0000,0.056519
Bottom-Left (Max Length Order),9,14.0000,0.035620
Bottom-Left (Max Length Order),9,14.0000,0.033216
Bottom-Left (Max Length Order),9,14.0000,0.032861
Bottom-Left (Max Length Order),9,14.0000,0.034437
Bottom-Left (Max Length Order),9,14.0000,0.042026
