Algoritmo,Allocated Pieces,Maximum Length on Strip,Total Allocation Time (s)
Bottom-Left (Bounding Box to Area Ratio Order),9,12.1667,0.038842
Bottom-Left (Bounding Box to Area Ratio Order),9,12.1667,0.040572
Bottom-Left (Bounding Box to Area Ratio Order),9,12.1667,0.040116
Bottom-Left (Bounding Box to Area Ratio Order),9,12.1667,0.044322
Bottom-Left (Bounding Box to Area Ratio Order),9,12.1667,0.046566
Bottom-Left (Bounding Box to Area Ratio Order),9,12.1667,0.045356
Bottom-Left (Bounding Box to Area Ratio Order),9,12.1667,0.054787
Bottom-Left (Bounding Box to Area Ratio Order),9,12.1667,0.049543
Bottom-Left (Bounding Box to Area Ratio Order),9,12.1667,0.039585
Bottom-Left (Bounding Box to Area Ratio Order),9,12.1667,0.055768
Bottom-Left (Bounding Box to Area Ratio Order),9,12.1667,0.040124
Bottom-Left (Bounding Box to Area Ratio Order),9,12.1667,0.037972
Bottom-Left (Bounding Box to Area Ratio Order),9,12.1667,0.035307
Bottom-Left (Bounding Box to Area Ratio Order),9,12.1667,0.035664
Bottom-Left (Bounding Box to Area Ratio Order),9,12.1667,0.035068
Bottom-Left (Bounding Box to Area Ratio Order),9,12.1667,0.047163
Bottom-Left (Bounding Box to Area Ratio Order),9,12.1667,0.037088
Bottom-Left (Bounding Box to Area Ratio Order),9,12.1667,0.034674
Bottom-Left (Bounding Box to Area Ratio Order),9,12.1667,0.035367
Bottom-Left (Bounding Box to Area Ratio Order),9,12.1667,0.034883
Bottom-Left (Bounding Box to Area Ratio Order),9,12.1667,0.043752
Bottom-Left (Bounding Box to Area Ratio Order),9,12.1667,0.034838
Bottom-Left (Bounding Box to Area Ratio Order),9,12.1667,0.037208
Bottom-Left (Bounding Box to Area Ratio Order),9,12.1667,0.036755
Bottom-Left (Bounding Box to Area Ratio Order),9,12.1667,0.035642
