Algoritmo,Allocated Pieces,Max Length on Strip,Total Allocation Time (s)
MKBL order by area,6,8.0,0.013242
MKBL order by area,6,8.0,0.010088
MKBL order by area,6,8.0,0.016575
MKBL order by area,6,8.0,0.011832
MKBL order by area,6,8.0,0.021906
MKBL order by area,6,8.0,0.017234
MKBL order by area,6,8.0,0.015476
MKBL order by area,6,8.0,0.013436
MKBL order by area,6,8.0,0.012738
MKBL order by area,6,8.0,0.018211
MKBL order by area,6,8.0,0.018917
MKBL order by area,6,8.0,0.013429
MKBL order by area,6,8.0,0.01282
MKBL order by area,6,8.0,0.015623
MKBL order by area,6,8.0,0.01403
MKBL order by area,6,8.0,0.01334
MKBL order by area,6,8.0,0.017667
MKBL order by area,6,8.0,0.014094
MKBL order by area,6,8.0,0.013418
MKBL order by area,6,8.0,0.015097
MKBL order by area,6,8.0,0.020792
MKBL order by area,6,8.0,0.012441
MKBL order by area,6,8.0,0.013106
MKBL order by area,6,8.0,0.014928
MKBL order by area,6,8.0,0.012434
MKBL order by area,6,8.0,0.01541
MKBL order by area,6,8.0,0.013058
MKBL order by area,6,8.0,0.012117
MKBL order by area,6,8.0,0.012642
MKBL order by area,6,8.0000,0.014079
