Algoritmo,Allocated Pieces,Max Length on Strip,Total Allocation Time (s)
MKBL user choice,0,0.0,0.000486
MKBL user choice,0,0.0,0.000471
MKBL user choice,0,0.0,0.000662
MKBL user choice,0,0.0,0.000748
MKBL user choice,0,0.0,0.00118
MKBL user choice,0,0.0,0.00041
MKBL user choice,0,0.0,0.000643
MKBL user choice,0,0.0,0.00045
MKBL user choice,0,0.0,0.000729
MKBL user choice,0,0.0,0.001007
MKBL user choice,0,0.0,0.001232
MKBL user choice,0,0.0,0.000524
MKBL user choice,0,0.0,0.000494
MKBL user choice,0,0.0,0.000978
MKBL user choice,0,0.0,0.000514
MKBL user choice,0,0.0,0.000504
MKBL user choice,0,0.0,0.000681
MKBL user choice,0,0.0,0.000892
MKBL user choice,0,0.0,0.000528
MKBL user choice,0,0.0,0.000712
MKBL user choice,0,0.0,0.0005
MKBL user choice,0,0.0,0.000864
MKBL user choice,0,0.0,0.000705
MKBL user choice,0,0.0,0.000961
MKBL user choice,0,0.0,0.001294
MKBL user choice,0,0.0,0.000491
MKBL user choice,0,0.0,0.000496
MKBL user choice,0,0.0,0.000482
MKBL user choice,0,0.0,0.00049
MKBL user choice,0,0.0000,0.000854
