instance,runs_needed,total_time_s,average_time_s
instance_three_area,93,1.000736,0.010761
instance_three_choice,100,1.007177,0.010072
instance_three_len,100,1.002261,0.010023
instance_three_ratio,17,538.896151,31.699774
instance_threep2_area,4,286.769369,71.692342
instance_threep2_choice,96,1.006009,0.010479
instance_threep2_len,93,1.002011,0.010774
instance_threep2w9_area,89,1.002220,0.011261
instance_threep2w9_choice,74,113.145494,1.528993
instance_threep2w9_len,4,1341.855833,335.463958
instance_threep3_area,28,1.007084,0.035967
instance_threep3_choice,31,1.041399,0.033594
instance_threep3_len,29,1.006425,0.034704
instance_threep3w9_area,23,1.023583,0.044504
instance_threep3w9_choice,29,1.009224,0.034801
instance_threep3w9_len,28,1.018334,0.036369
instance_three_area,135,1.004917,0.007444
instance_three_len,108,1.007288,0.009327
instance_three_ratio,89,1.014128,0.011395
instance_threep2_area,79,1.007229,0.012750
instance_threep2_len,95,1.004396,0.010573
instance_three_area,103,1.003631,0.009744
instance_three_len,107,1.000216,0.009348
instance_three_ratio,93,1.006577,0.010823
instance_threep2_area,86,1.002132,0.011653
instance_threep2_len,85,1.006400,0.011840
instance_threep2_ratio,50,1.007819,0.020156
instance_threep2w9_area,76,1.001742,0.013181
instance_threep2w9_len,96,1.003647,0.010455
instance_threep2w9_ratio,72,1.011095,0.014043
instance_threep3_area,28,1.030704,0.036811
instance_threep3_len,28,1.010956,0.036106
instance_threep3_ratio,31,1.021938,0.032966
instance_threep3w9_area,25,1.019784,0.040791
instance_threep3w9_len,29,1.017837,0.035098
instance_threep3w9_ratio,25,1.016962,0.040678
